time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:outgoing endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:incoming endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall started" firewallHash=21716b47a7a140e448077fe66c31b4b42f232e996818d7dd1c6c4991e066dbdb
time="2025-03-06T16:05:58+01:00" level=info msg="Main HostMap created" network=192.168.80.3/24 preferredRanges="[]"
time="2025-03-06T16:05:58+01:00" level=info msg="UDP hole punching enabled"
time="2025-03-06T16:05:58+01:00" level=info msg="Loaded send_recv_error config" sendRecvError=always
time="2025-03-06T16:05:58+01:00" level=info msg="Nebula interface is active" build=1.6.1 interface=nebula network=192.168.80.3/24 udpAddr="0.0.0.0:4242"
time="2025-03-06T16:13:08+01:00" level=info msg="Handshake timed out" durationNs=10098922725 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3869512803 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:13:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:08+01:00" level=info msg="Handshake timed out" durationNs=10198413385 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=15798795 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:14:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:08+01:00" level=info msg="Handshake timed out" durationNs=9899301341 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3049985118 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:15:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:16:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:16:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:16:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:16:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3597420539 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
